topic_id,intent,initial_request,questions1,answers1,question2,answer2,question3,answer3,learning_outcome,career_future
14,IT management,Tell me about opportunities in IT project management.,Do you have experience managing software projects?,"Yes, I've led software development projects in previous roles.",What project management methodologies are you familiar with?,I am familiar with Agile and Scrum methodologies.,Are you interested in traditional or Agile project management?,I am interested in Agile methodologies for software projects.,"[Foundations of Software Design and Development, Agile Project Management, Management of Software Projects, Knowledge Management, Professional Practice, Business Intelligence]","[IT Director/Manager, IT Project Manager, IT Operations Manager, Business Intelligence (BI) Manager]"
15,data scientist,How do I become a data scientist,What's your educational background in data science?,I have a degree in computer science with coursework in statistics.,Have you worked with any data science tools or languages?,"Yes, I am proficient in Python and have used tools like Pandas and NumPy.",Are you interested in machine learning or data visualization?,I am interested in machine learning algorithms and predictive modeling.,"[Data Analytics, Data Wrangling, Artificial Intelligence, Data Management and Processing]","[Data Analytic, Software Support Analysts, Systems analysis, Data engineering]"
16,network engineering,What are the requirements for a career in network engineering,Do you have any networking certifications?,"Yes, I have Cisco CCNA certification.",Have you worked with any network protocols or technologies?,"Yes, I am experienced with TCP/IP and VLANs.",Are you interested in wired or wireless networking?,"I am interested in both, but I lean towards wireless networking.","[Operating Systems, Computer System, Network Service, WLAN, Information Society and Security]","[Network Architect, Network Security Engineer, Wireless Network Engineer, Network Virtualization Engineer]"
17,game development,Can you tell me about opportunities in game development,Have you developed any games before?,"Yes, I've created indie games using Unity and Unreal Engine.",What aspect of game development are you most passionate about?,I am passionate about game design and storytelling.,Are you interested in AAA or indie game development?,"I am interested in both, but I am focusing on indie game projects.","[Introduction to Human Computer Interaction, Computer Graphics, Games Engineering, Computational Intelligence, Data Analytics, Artificial Intelligence]","[Software development, Games development, Video game programming, Artificial intelligence]"
18,IT documentation,How can I pursue a career in technical writing,Do you have experience writing technical documentation?,"Yes, I've written user manuals and API documentation.",Are you familiar with any documentation tools or formats?,"Yes, I am proficient in Markdown and Adobe FrameMaker.",Are you interested in software documentation or content creation?,I am interested in software documentation and technical content writing.,"[Foundations of Software Design and Development, Computer Systems, Mathematics for Software Engineering, Programming Fundamentals, Human Computer Interaction]","[Technical Writer, Documentation Manager, Information Architect, Documentation Analyst, Project Support]"
19,robotics engineers,What are the job prospects for robotics engineers,Do you have experience with robotic systems or programming?,"Yes, I've worked with robotic arms and ROS.",What specific applications of robotics interest you?,I am interested in autonomous vehicles and industrial automation.,Are you interested in research or industry applications of robotics?,"I am interested in both, but I am leaning towards industry applications.","[Data Wrangling, Artificial Intelligence, Applied Machine Learning, Emergent Computing for Optimisation]","[Data Scientist, Robotics Engineer, Deep Learning Engineer, Machine Learning Engineer]"
20,cloud security,Tell me about career opportunities in cloud security.,Have you worked with any cloud security tools or platforms?,"Yes, I've configured security groups in AWS and deployed WAFs.",What aspects of cloud security are you most interested in?,I am interested in threat detection and incident response.,Are you interested in compliance and regulatory frameworks?,"Yes, I am interested in ensuring cloud environments meet industry standards.","[Programming Fundamentals, Artificial Intelligence, Network Services, Security Testing and Advanced Network Forensics, Scripting for Cybersecurity]","[Cloud Security Architect, Cloud Security Engineer, ]"
21,software testing,I am interested in software testing careers.,Do you have experience with automated testing tools?,"Yes, I've used tools like Selenium for automated testing.",What types of software testing are you familiar with?,I have experience with functional testing and regression testing.,Are you interested in manual testing or test automation?,"I am interested in both, but I want to focus on test automation.","[Advance Programming, Foundation of Software Design & Development, Secure Software Development, Database System, DevOps]","[Software Manager, Project Manager, Software Developer, Software Tester, Cloud Security Operations Analyst]"
22,digital marketing,Can you tell me about opportunities in digital marketing,Have you run any digital marketing campaigns before?,"Yes, I've managed social media campaigns for small businesses.",What digital marketing channels are you familiar with?,I am familiar with email marketing and SEO strategies.,Are you interested in data analysis or content creation?,I am interested in data-driven marketing strategies and content creation.,"[Buinsess Intelligence, Management of Software Projects, Project Management for Information Systems, Security Audit and Compliance, Information Systems]","[Information architect, Consultancy, Interactive systems design, Usability engineering, Information engineering, IT project management]"
23,information technology (IT),Tell me about development in IT,Are you interested in web development or app development?,I am interested in web development.,Have you considered database management or system administration?,I am considering a career in database management.,What specific area of IT?,I am interested in software engineering.,"[Information Systems in Organisations, Programming Fundamentals, Object Oriented Software Development, Software Engineering Methods, Web Technologies]","[Computer software Engineer, Software Designer, Software Developer, Data Analyst, In-house Web Design,  Network Manager, Mobile App Developer]"
24,computer science,What career paths are there in computer science,Are you interested in data analysis or software development,I am interested in data analysis.,What career paths are there in computer science,Have you considered cybersecurity or cloud computing,I am considering a career in cybersecurity.,Are you more interested in front-end or back-end development,"[Object Oriented Software Development Computer Systems, Data Analytics, Artificial Intelligence,  Software Engineering Methods, Algorithms and Data Structures, Computer Graphics]","[Data Scientist, Software Developer/Engineer, Artificial Intelligence (AI) Engineer, Systems Administrator]"
25,business informatics,I am exploring careers in business informatics,Which role within business informatics,I am considering a career as a digital service manager.,,,,,"[Business Intelligence, Professional Practice, Foundations of Software Design and Development, Data Wrangling, Artificial Intelligence]","[Business Analyst, Data Analyst, Business Intelligence (BI) Developer, IT Consultant]"
26,sound design,Tell me about sound design opportunities,Which aspect of sound design,I am interested in becoming a dialogue editor.,,,,,"[Digital video development, Intermediate interactive audio, Playful interaction, Practical interaction design, Sound production, Creative technology, Sound Design]","[Audio Programmer, Boom Operator, Dialogue Editor
Dubbing/Rerecording Mixer, Film and Television Sound Designer, Foley Artist/Editor, Production Sound Mixer, Radio Sound Designer, Sound Technician, Video Game Sound Designer]"
